Title,Genre,Platform,Original Platform,Year,Played,Description,Publisher,Developer
Aberoth,,,,,,,,
Age of Empires 2,,,,,,,,
Age of Empires 3,,,,,,,,
Age of Mythology,,,,,,,,
Aion,,,,,,,,
All is Dust,,,,,,,,
Ark Survival Evolved,,,,,,,,
Audiosurf 2,,,,,,,,
Batman Arkham Origins,,,,,,,,
Bioshock Infinite,,,,,,,,
Blockade 3D,,,,,,,,
The Cat and the Coup,,,,,,,,
Clicker Heroes,,,,,,,,
Gang Wars,,,,,,,,
Crysis,,,,,,,,
Crysis 3,,,,,,,,
Defiance,,,,,,,,
Depth,,,,,,,,
Deus Ex Human Revolution,,,,,,,,
Dirty Bomb,,,,,,,,
Dota 2,,,,,,,,
Double Action,,,,,,,,
Echo of Soul,,,,,,,,
Elder Scrolls 3 Morrowind,,,,,,,,
Elder Scrolls 4 Oblivion,,,,,,,,
Elder Scrolls 5 Skyrim,,,,,,,,
Electric Highways,,,,,,,,
Empire Total War,,,,,,,,
Endless Sky,,,,,,,,
Endless Space,,,,,,,,
Expendabros,,,,,,,,
Fallout,,,,,,,,
Fallout 2,,,,,,,,
Fallout 4,,,,,,,,
Fallout Tactics,,,,,,,,
Far Cry 3,,,,,,,,
Final Fantasy 7,,,,,,,,
Fistful of Frags,,,,,,,,
Forsaken Uprising,,,,,,,,
Garry's Mod,,,,,,,,
Gotham City Imposters,,,,,,,,
Grand Theft Auto 4,,,,,,,,
Grand Theft Auto 4 Episodes From Liberty City,,,,,,,,
Grand Theft Auto Vice City,,,,,,,,
Half Life,,,,,,,,
Hawken,,,,,,,,
Hitman,,,,,,,,
Hitman 2,,,,,,,,
Hitman Contracts,,,,,,,,
Hitman Blood Money,,,,,,,,
Hitman Absolution,,,,,,,,
Hitman Sniper Challenge,,,,,,,,
Just Cause 2,,,,,,,,
Knight Online,,,,,,,,
Lord of the Rings Online,,,,,,,,
Marvel Heroes 2016,,,,,,,,
Mass Effect,,,,,,,,
Mass Effect 2,,,,,,,,
Minecraft,,,,,,,,
Mount and Blade,,,,,,,,
Myst,,,,,,,,
Neverwinter Underdark,,,,,,,,
Nosgoth,,,,,,,,
Path of Exile The Awakening,,,,,,,,
Pink Hour,,,,,,,,
Plague Inc,,,,,,,,
Planetside 2,,,,,,,,
Portal,,,,,,,,
Portal 2,,,,,,,,
Realm of the Mad God,,,,,,,,
Resident Evil Revelations 2,,,,,,,,
Rise of Nations,,,,,,,,
Roller Coaster Tycoon 3,,,,,,,,
Saints Row 4,,,,,,,,
The Secret of the Tremendous Corporation,,,,,,,,
Civilization 3,,,,,,,,
Civilization 4,,,,,,,,
Civilization 5,,,,,,,,
Civilization Beyond Earth,,,,,,,,
The Sims 3,,,,,,,,
Snow,,,,,,,,
Soccer Manager 2016,,,,,,,,
Spec Ops The Line,,,,,,,,
Spore,,,,,,,,
Starwars Battlefront 2,,,,,,,,
